activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type
17757669,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3957145,=,nM,679.1,CHEMBL2358,Homo sapiens,IC50
17757670,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3920670,=,nM,476.0,CHEMBL2358,Homo sapiens,IC50
17757727,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3966391,=,nM,42842.0,CHEMBL2358,Homo sapiens,IC50
17757728,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3907165,=,nM,38513.0,CHEMBL2358,Homo sapiens,IC50
17757729,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3928283,=,nM,70354.0,CHEMBL2358,Homo sapiens,IC50
17757730,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3921670,=,nM,41170.0,CHEMBL2358,Homo sapiens,IC50
17757731,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3893658,=,nM,52820.0,CHEMBL2358,Homo sapiens,IC50
17757732,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3941212,=,nM,51843.0,CHEMBL2358,Homo sapiens,IC50
17757733,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3974122,=,nM,60724.0,CHEMBL2358,Homo sapiens,IC50
17757734,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3935721,=,nM,41017.0,CHEMBL2358,Homo sapiens,IC50
17757735,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3965648,=,nM,3668.0,CHEMBL2358,Homo sapiens,IC50
17757736,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3966720,=,nM,45534.0,CHEMBL2358,Homo sapiens,IC50
17757737,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3901301,=,nM,24910.0,CHEMBL2358,Homo sapiens,IC50
17757738,CHEMBL3887160,"Inhibition Assay: Test compounds dissolved and diluted in DMSO (2 μl) were added to a reaction mixture comprising 10 μl of 5× Reaction Buffer (40 mM MOPS pH 7.0, 5 mM EDTA), 10 μl of recombinant human PIM2 solution (4 ng PIM-2 dissolved in dilution buffer (20 mM MOPS pH 7.0; EDTA 1 mM; 5% Glycerol; 0.01% Brij 35; 0.1%; 0.1% 2-mercaptoethanol; 1 mg/ml BSA)) and 8 ul of water. Reactions were initiated by the addition of 10 ul of ATP Solution (49% (15 mM MgCl2; 75 uM ATP) 1% ([γ-33P]ATP: Stock 1 mCi/100 μl; 3000 Ci/mmol (Perkin Elmer)) and 10 ul of substrate peptide solution (RSRSSYPAGT (SEQ ID NO.: 6), dissolved in water at a concentration of 1 mM), Reactions were maintained for 10 min at 30° C. The reactions were quenched with 100 ul of 0.75% Phosphoric acid, then transferred to and filtered through a Phosphocellulose filter plate (Millipore, MSPH-N6B-50). After washing each well 4 times with 0.75% Phosphoric acid, scintillation fluid (20 uL) was added to each well and the resid",B,CHEMBL3926977,=,nM,34040.0,CHEMBL2358,Homo sapiens,IC50
