activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
2461258,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL488649,=,nM,310.0,CHEMBL5401,Homo sapiens,IC50,nM,310.0
2461259,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL529443,=,nM,2.1,CHEMBL5401,Homo sapiens,IC50,nM,2.1
2461260,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL487460,=,nM,19.0,CHEMBL5401,Homo sapiens,IC50,nM,19.0
2461261,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL471743,=,nM,25.0,CHEMBL5401,Homo sapiens,IC50,nM,25.0
2461262,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL471560,=,nM,130.0,CHEMBL5401,Homo sapiens,IC50,nM,130.0
2461263,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL471559,=,nM,36.0,CHEMBL5401,Homo sapiens,IC50,nM,36.0
2461264,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL512894,=,nM,2000.0,CHEMBL5401,Homo sapiens,IC50,nM,2000.0
2461265,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL486643,=,nM,23.0,CHEMBL5401,Homo sapiens,IC50,nM,23.0
2461266,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL520539,=,nM,5200.0,CHEMBL5401,Homo sapiens,IC50,nM,5200.0
2461267,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL487634,=,nM,310.0,CHEMBL5401,Homo sapiens,IC50,nM,310.0
2461268,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL520234,=,nM,38.0,CHEMBL5401,Homo sapiens,IC50,nM,38.0
2461269,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL512519,=,nM,25.0,CHEMBL5401,Homo sapiens,IC50,nM,25.0
2461270,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL471131,=,nM,7.9,CHEMBL5401,Homo sapiens,IC50,nM,7.9
2461271,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL471130,=,nM,22.0,CHEMBL5401,Homo sapiens,IC50,nM,22.0
2461272,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL469910,=,nM,8.2,CHEMBL5401,Homo sapiens,IC50,nM,8.2
2461273,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL512533,=,nM,11.0,CHEMBL5401,Homo sapiens,IC50,nM,11.0
2461274,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL470964,=,nM,650.0,CHEMBL5401,Homo sapiens,IC50,nM,650.0
2461275,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL512874,=,nM,1.8,CHEMBL5401,Homo sapiens,IC50,nM,1.8
2461276,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL470963,=,nM,1.4,CHEMBL5401,Homo sapiens,IC50,nM,1.4
2461277,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL513401,=,nM,17.0,CHEMBL5401,Homo sapiens,IC50,nM,17.0
2461278,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL471114,=,nM,6.5,CHEMBL5401,Homo sapiens,IC50,nM,6.5
2461279,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL471113,=,nM,7.0,CHEMBL5401,Homo sapiens,IC50,nM,7.0
2461280,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL470949,=,nM,6.2,CHEMBL5401,Homo sapiens,IC50,nM,6.2
2461281,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL461304,=,nM,120.0,CHEMBL5401,Homo sapiens,IC50,nM,120.0
2461282,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL461303,=,nM,650.0,CHEMBL5401,Homo sapiens,IC50,nM,650.0
2461283,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL517122,=,nM,16.0,CHEMBL5401,Homo sapiens,IC50,nM,16.0
2461284,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL458325,=,nM,98.0,CHEMBL5401,Homo sapiens,IC50,nM,98.0
2461285,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL461721,=,nM,81.0,CHEMBL5401,Homo sapiens,IC50,nM,81.0
2461286,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL461720,=,nM,95.0,CHEMBL5401,Homo sapiens,IC50,nM,95.0
2461287,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL518350,=,nM,61.0,CHEMBL5401,Homo sapiens,IC50,nM,61.0
2461288,CHEMBL982109,Inhibition of STAT6 activation in FW4 reporter cells,B,CHEMBL228192,=,nM,21.0,CHEMBL5401,Homo sapiens,IC50,nM,21.0
3054482,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL605087,=,nM,8300.0,CHEMBL5401,Homo sapiens,IC50,nM,8300.0
3054483,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL471114,=,nM,6.5,CHEMBL5401,Homo sapiens,IC50,nM,6.5
3054484,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL606152,=,nM,4100.0,CHEMBL5401,Homo sapiens,IC50,nM,4100.0
3054485,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL606350,=,nM,4.7,CHEMBL5401,Homo sapiens,IC50,nM,4.7
3054486,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL595058,=,nM,1.9,CHEMBL5401,Homo sapiens,IC50,nM,1.9
3054487,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL595488,=,nM,26.0,CHEMBL5401,Homo sapiens,IC50,nM,26.0
3054488,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL594821,=,nM,34.0,CHEMBL5401,Homo sapiens,IC50,nM,34.0
3054489,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL596421,=,nM,5.6,CHEMBL5401,Homo sapiens,IC50,nM,5.6
3054490,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL596420,=,nM,3.2,CHEMBL5401,Homo sapiens,IC50,nM,3.2
3054491,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL594344,=,nM,12.0,CHEMBL5401,Homo sapiens,IC50,nM,12.0
3054492,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL603203,=,nM,37.0,CHEMBL5401,Homo sapiens,IC50,nM,37.0
3054493,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL596223,=,nM,120.0,CHEMBL5401,Homo sapiens,IC50,nM,120.0
3054494,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL596410,=,nM,220.0,CHEMBL5401,Homo sapiens,IC50,nM,220.0
3054495,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL593392,=,nM,400.0,CHEMBL5401,Homo sapiens,IC50,nM,400.0
3054496,CHEMBL1042440,Inhibition of STAT6 in IL4-stimulated human FW4 reporter cells by luciferase assay,B,CHEMBL593171,=,nM,0.7,CHEMBL5401,Homo sapiens,IC50,nM,0.7
12175994,CHEMBL2209265,Inhibition of human STAT6 expressed in 293-EBNA cells assessed as inhibition of IL4-induced STAT6 transcriptional activation after 1 hr by Photinus pylaris luciferase reporter gene assay,B,CHEMBL2204366,=,nM,3200.0,CHEMBL5401,Homo sapiens,IC50,uM,3.2
12175995,CHEMBL2209265,Inhibition of human STAT6 expressed in 293-EBNA cells assessed as inhibition of IL4-induced STAT6 transcriptional activation after 1 hr by Photinus pylaris luciferase reporter gene assay,B,CHEMBL2204367,=,nM,2700.0,CHEMBL5401,Homo sapiens,IC50,uM,2.7
16411771,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740569,=,nM,1800.0,CHEMBL5401,Homo sapiens,IC50,uM,1.8
16411772,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740952,=,nM,2400.0,CHEMBL5401,Homo sapiens,IC50,uM,2.4
16411773,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3739898,=,nM,4500.0,CHEMBL5401,Homo sapiens,IC50,uM,4.5
16411774,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741753,=,nM,4200.0,CHEMBL5401,Homo sapiens,IC50,uM,4.2
16411775,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741480,=,nM,6100.0,CHEMBL5401,Homo sapiens,IC50,uM,6.1
16411776,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740866,=,nM,5200.0,CHEMBL5401,Homo sapiens,IC50,uM,5.2
16411777,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740037,=,nM,4000.0,CHEMBL5401,Homo sapiens,IC50,uM,4.0
16411778,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3739902,=,nM,5200.0,CHEMBL5401,Homo sapiens,IC50,uM,5.2
16411779,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740842,=,nM,14900.0,CHEMBL5401,Homo sapiens,IC50,uM,14.9
16411780,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740777,=,nM,8100.0,CHEMBL5401,Homo sapiens,IC50,uM,8.1
16411781,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741973,=,nM,4100.0,CHEMBL5401,Homo sapiens,IC50,uM,4.1
16411782,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3739974,=,nM,3500.0,CHEMBL5401,Homo sapiens,IC50,uM,3.5
16411783,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740092,=,nM,6600.0,CHEMBL5401,Homo sapiens,IC50,uM,6.6
16411784,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3742329,=,nM,8600.0,CHEMBL5401,Homo sapiens,IC50,uM,8.6
16411785,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740899,=,nM,3700.0,CHEMBL5401,Homo sapiens,IC50,uM,3.7
16411786,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740751,=,nM,89600.0,CHEMBL5401,Homo sapiens,IC50,uM,89.6
16411787,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3742125,=,nM,140.0,CHEMBL5401,Homo sapiens,IC50,uM,0.14
16411788,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741162,=,nM,44.0,CHEMBL5401,Homo sapiens,IC50,uM,0.044
16411789,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740709,=,nM,120.0,CHEMBL5401,Homo sapiens,IC50,uM,0.12
16411790,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740611,=,nM,870.0,CHEMBL5401,Homo sapiens,IC50,uM,0.87
16411791,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741852,=,nM,1250.0,CHEMBL5401,Homo sapiens,IC50,uM,1.25
16411792,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741938,=,nM,28.0,CHEMBL5401,Homo sapiens,IC50,uM,0.028
16411793,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741886,=,nM,89.0,CHEMBL5401,Homo sapiens,IC50,uM,0.089
16411794,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3739524,=,nM,120.0,CHEMBL5401,Homo sapiens,IC50,uM,0.12
16411795,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740710,=,nM,270.0,CHEMBL5401,Homo sapiens,IC50,uM,0.27
16411796,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3739875,=,nM,340.0,CHEMBL5401,Homo sapiens,IC50,uM,0.34
16411797,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3739968,=,nM,250.0,CHEMBL5401,Homo sapiens,IC50,uM,0.25
16411798,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741189,=,nM,230.0,CHEMBL5401,Homo sapiens,IC50,uM,0.23
16411799,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741667,=,nM,740.0,CHEMBL5401,Homo sapiens,IC50,uM,0.74
16411800,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3739525,=,nM,380.0,CHEMBL5401,Homo sapiens,IC50,uM,0.38
16411801,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741476,=,nM,3430.0,CHEMBL5401,Homo sapiens,IC50,uM,3.43
16411802,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740610,=,nM,540.0,CHEMBL5401,Homo sapiens,IC50,uM,0.54
16411803,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3739599,=,nM,1070.0,CHEMBL5401,Homo sapiens,IC50,uM,1.07
16411804,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3742269,=,nM,410.0,CHEMBL5401,Homo sapiens,IC50,uM,0.41
16411855,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741243,=,nM,270.0,CHEMBL5401,Homo sapiens,IC50,uM,0.27
16411856,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3741674,=,nM,120.0,CHEMBL5401,Homo sapiens,IC50,uM,0.12
16411857,CHEMBL3743438,Inhibition of STAT6 (unknown origin) expressed in Escherichia coli using FAM-Ala-pTyr-Lys-ProPhe-Gln-Asp-Leu-Ile-NH2 as substrate by fluorescence polarization assay,B,CHEMBL3740699,=,nM,480.0,CHEMBL5401,Homo sapiens,IC50,uM,0.48
25092482,CHEMBL5258729,"Inhibition of IL-4 induced STAT6 signaling in human HepG2 cells harboring pRL-EF1alpha, pGL3-TK-7xN4 and TOPO-Stat6 plasmid assessed as luciferase activity incubated for 24 hrs by Promega reporter rene assay",B,CHEMBL5271361,=,nM,79.0,CHEMBL5401,Homo sapiens,IC50,nM,79.0
25092483,CHEMBL5258729,"Inhibition of IL-4 induced STAT6 signaling in human HepG2 cells harboring pRL-EF1alpha, pGL3-TK-7xN4 and TOPO-Stat6 plasmid assessed as luciferase activity incubated for 24 hrs by Promega reporter rene assay",B,CHEMBL5267203,=,nM,56.0,CHEMBL5401,Homo sapiens,IC50,nM,56.0
25092484,CHEMBL5258729,"Inhibition of IL-4 induced STAT6 signaling in human HepG2 cells harboring pRL-EF1alpha, pGL3-TK-7xN4 and TOPO-Stat6 plasmid assessed as luciferase activity incubated for 24 hrs by Promega reporter rene assay",B,CHEMBL3400936,=,nM,68.0,CHEMBL5401,Homo sapiens,IC50,nM,68.0
25092485,CHEMBL5258729,"Inhibition of IL-4 induced STAT6 signaling in human HepG2 cells harboring pRL-EF1alpha, pGL3-TK-7xN4 and TOPO-Stat6 plasmid assessed as luciferase activity incubated for 24 hrs by Promega reporter rene assay",B,CHEMBL5280678,=,nM,20.0,CHEMBL5401,Homo sapiens,IC50,nM,20.0
