activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
2089057,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL256609,=,nM,1400.0,CHEMBL5533,Homo sapiens,IC50,uM,1.4
2089058,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL256403,=,nM,1000.0,CHEMBL5533,Homo sapiens,IC50,uM,1.0
2089059,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL401504,=,nM,1100.0,CHEMBL5533,Homo sapiens,IC50,uM,1.1
2089060,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL257446,=,nM,1300.0,CHEMBL5533,Homo sapiens,IC50,uM,1.3
2089061,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL257234,=,nM,3600.0,CHEMBL5533,Homo sapiens,IC50,uM,3.6
2089063,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL256061,=,nM,1000.0,CHEMBL5533,Homo sapiens,IC50,uM,1.0
2089064,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL258314,=,nM,2800.0,CHEMBL5533,Homo sapiens,IC50,uM,2.8
2089065,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL256062,=,nM,2000.0,CHEMBL5533,Homo sapiens,IC50,uM,2.0
2089069,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL271233,=,nM,1000.0,CHEMBL5533,Homo sapiens,IC50,uM,1.0
2089070,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL269942,=,nM,2100.0,CHEMBL5533,Homo sapiens,IC50,uM,2.1
2089071,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL269941,=,nM,1100.0,CHEMBL5533,Homo sapiens,IC50,uM,1.1
2089072,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL404588,=,nM,3700.0,CHEMBL5533,Homo sapiens,IC50,uM,3.7
2089073,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL429586,=,nM,1600.0,CHEMBL5533,Homo sapiens,IC50,uM,1.6
2089074,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL256042,=,nM,2100.0,CHEMBL5533,Homo sapiens,IC50,uM,2.1
2089075,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL402638,=,nM,900.0,CHEMBL5533,Homo sapiens,IC50,uM,0.9
2089076,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL256204,=,nM,3800.0,CHEMBL5533,Homo sapiens,IC50,uM,3.8
2089077,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL270605,=,nM,3200.0,CHEMBL5533,Homo sapiens,IC50,uM,3.2
2089078,CHEMBL945842,Inhibition of TNF-alpha-stimulated human NF-kappaB p65 RelA subunit nuclear translocation in HUVEC,B,CHEMBL540966,=,nM,1500.0,CHEMBL5533,Homo sapiens,IC50,uM,1.5
3215801,CHEMBL1100043,Inhibition of nuclear factor NF-kappa-B p65 subunit after 1 hr by ELISA,B,CHEMBL438139,=,nM,80.0,CHEMBL5533,Homo sapiens,IC50,uM,0.08
3215806,CHEMBL1100043,Inhibition of nuclear factor NF-kappa-B p65 subunit after 1 hr by ELISA,B,CHEMBL462879,=,nM,3200.0,CHEMBL5533,Homo sapiens,IC50,uM,3.2
3215810,CHEMBL1100043,Inhibition of nuclear factor NF-kappa-B p65 subunit after 1 hr by ELISA,B,CHEMBL488606,=,nM,11300.0,CHEMBL5533,Homo sapiens,IC50,uM,11.3
3215811,CHEMBL1100043,Inhibition of nuclear factor NF-kappa-B p65 subunit after 1 hr by ELISA,B,CHEMBL261706,=,nM,12100.0,CHEMBL5533,Homo sapiens,IC50,uM,12.1
3215812,CHEMBL1100043,Inhibition of nuclear factor NF-kappa-B p65 subunit after 1 hr by ELISA,B,CHEMBL323197,=,nM,15900.0,CHEMBL5533,Homo sapiens,IC50,uM,15.9
3215813,CHEMBL1100043,Inhibition of nuclear factor NF-kappa-B p65 subunit after 1 hr by ELISA,B,CHEMBL487992,=,nM,19000.0,CHEMBL5533,Homo sapiens,IC50,uM,19.0
3296556,CHEMBL1109182,Inhibition of NFkappa p65 isolated from nuclear extract of human HeLa cells assessed as blockade of binding to biotinylated consesus sequence by chemiluminescence assay,B,CHEMBL438139,=,nM,4000.0,CHEMBL5533,Homo sapiens,IC50,uM,4.0
3296570,CHEMBL1109182,Inhibition of NFkappa p65 isolated from nuclear extract of human HeLa cells assessed as blockade of binding to biotinylated consesus sequence by chemiluminescence assay,B,CHEMBL1099162,=,nM,3700.0,CHEMBL5533,Homo sapiens,IC50,uM,3.7
3296576,CHEMBL1109182,Inhibition of NFkappa p65 isolated from nuclear extract of human HeLa cells assessed as blockade of binding to biotinylated consesus sequence by chemiluminescence assay,B,CHEMBL1094756,=,nM,2000.0,CHEMBL5533,Homo sapiens,IC50,uM,2.0
6216203,CHEMBL1785171,Inhibition of NFkappa p65 in nuclear extract of human HeLa cells assessed as blockade of NFkappa p65 binding to biotinylated-consesus sequence by ELISA,B,CHEMBL1782240,=,nM,2900.0,CHEMBL5533,Homo sapiens,IC50,uM,2.9
6216218,CHEMBL1785171,Inhibition of NFkappa p65 in nuclear extract of human HeLa cells assessed as blockade of NFkappa p65 binding to biotinylated-consesus sequence by ELISA,B,CHEMBL438139,=,nM,75.0,CHEMBL5533,Homo sapiens,IC50,uM,0.075
6269312,CHEMBL1804152,Inhibition of NFkappa p65 isolated from nuclear extract of human HeLa cells by ELISA,B,CHEMBL1801948,=,nM,750.0,CHEMBL5533,Homo sapiens,IC50,uM,0.75
6269315,CHEMBL1804152,Inhibition of NFkappa p65 isolated from nuclear extract of human HeLa cells by ELISA,B,CHEMBL1801950,=,nM,11500.0,CHEMBL5533,Homo sapiens,IC50,uM,11.5
6269316,CHEMBL1804152,Inhibition of NFkappa p65 isolated from nuclear extract of human HeLa cells by ELISA,B,CHEMBL1077979,=,nM,250.0,CHEMBL5533,Homo sapiens,IC50,uM,0.25
6269318,CHEMBL1804152,Inhibition of NFkappa p65 isolated from nuclear extract of human HeLa cells by ELISA,B,CHEMBL438139,=,nM,75.0,CHEMBL5533,Homo sapiens,IC50,uM,0.075
8028969,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950361,=,nM,24390.0,CHEMBL5533,Homo sapiens,IC50,uM,24.39
8028970,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950362,=,nM,11210.0,CHEMBL5533,Homo sapiens,IC50,uM,11.21
8028971,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950363,=,nM,35280.0,CHEMBL5533,Homo sapiens,IC50,uM,35.28
8028973,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950365,=,nM,33440.0,CHEMBL5533,Homo sapiens,IC50,uM,33.44
8028974,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950366,=,nM,24050.0,CHEMBL5533,Homo sapiens,IC50,uM,24.05
8028975,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950360,=,nM,12870.0,CHEMBL5533,Homo sapiens,IC50,uM,12.87
8028976,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950367,=,nM,13650.0,CHEMBL5533,Homo sapiens,IC50,uM,13.65
8028979,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950370,=,nM,12410.0,CHEMBL5533,Homo sapiens,IC50,uM,12.41
8028981,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950372,=,nM,2650.0,CHEMBL5533,Homo sapiens,IC50,uM,2.65
8028983,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950374,=,nM,7990.0,CHEMBL5533,Homo sapiens,IC50,uM,7.99
8028984,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950375,=,nM,10290.0,CHEMBL5533,Homo sapiens,IC50,uM,10.29
8028985,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950376,=,nM,13810.0,CHEMBL5533,Homo sapiens,IC50,uM,13.81
8028986,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950377,=,nM,6830.0,CHEMBL5533,Homo sapiens,IC50,uM,6.83
8028987,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950378,=,nM,11620.0,CHEMBL5533,Homo sapiens,IC50,uM,11.62
8028990,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950382,=,nM,21260.0,CHEMBL5533,Homo sapiens,IC50,uM,21.26
8028991,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950383,=,nM,1700.0,CHEMBL5533,Homo sapiens,IC50,uM,1.7
8028992,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950384,=,nM,3190.0,CHEMBL5533,Homo sapiens,IC50,uM,3.19
8028993,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950385,=,nM,11900.0,CHEMBL5533,Homo sapiens,IC50,uM,11.9
8028994,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950386,=,nM,5440.0,CHEMBL5533,Homo sapiens,IC50,uM,5.44
8029000,CHEMBL1955513,Inhibition of TNF-alpha-induced NF-kappaB p65 nuclear translocation in human A549 cells after 2 hrs by fluorescence assay,B,CHEMBL1950392,=,nM,9590.0,CHEMBL5533,Homo sapiens,IC50,uM,9.59
16801755,CHEMBL3868904,Inhibition of NF-kappa-B p65 in human THP1 cells assessed as suppression of LPS-induced TNFalpha release preincubated for 3 hrs followed by LPS stimulation by ELISA,B,CHEMBL3982477,=,nM,19300.0,CHEMBL5533,Homo sapiens,IC50,uM,19.3
17672090,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL165,=,nM,20000.0,CHEMBL5533,Homo sapiens,IC50,nM,20000.0
17672091,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL215186,=,nM,500.0,CHEMBL5533,Homo sapiens,IC50,nM,500.0
17672092,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL215432,=,nM,600.0,CHEMBL5533,Homo sapiens,IC50,nM,600.0
17672093,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL215583,=,nM,600.0,CHEMBL5533,Homo sapiens,IC50,nM,600.0
17672094,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL83880,=,nM,150.0,CHEMBL5533,Homo sapiens,IC50,nM,150.0
17672095,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL214521,=,nM,300.0,CHEMBL5533,Homo sapiens,IC50,nM,300.0
17672096,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL218562,=,nM,150.0,CHEMBL5533,Homo sapiens,IC50,nM,150.0
17672097,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL218615,=,nM,1000.0,CHEMBL5533,Homo sapiens,IC50,nM,1000.0
17672098,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL215767,=,nM,1100.0,CHEMBL5533,Homo sapiens,IC50,nM,1100.0
17672099,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL215717,=,nM,1500.0,CHEMBL5533,Homo sapiens,IC50,nM,1500.0
17672100,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL214885,=,nM,800.0,CHEMBL5533,Homo sapiens,IC50,nM,800.0
17672101,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL383922,=,nM,900.0,CHEMBL5533,Homo sapiens,IC50,nM,900.0
17672102,CHEMBL3705677,"Inhibition Assay: The actual target(s) whereby the most active substituted trans-stilbenes inhibit the TNFα-induced activation of NF-κB remains to be identified. Resveratrol has been shown to suppress the TNF-induced phosphorylation and nuclear translocation of the p65 subunit of NF-κB.38 Both IKKα and IKKβ are able to catalyze the phosphorylation of p65, although through different signaling pathways,39 and are potential targets. Likewise, one or more of the kinases that activate IKK by phosphorylation, in response to TNFα or to the numerous other activators of NF-κB,35 may be the targets.",B,CHEMBL215214,=,nM,1300.0,CHEMBL5533,Homo sapiens,IC50,nM,1300.0
18672978,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL169,=,nM,31.0,CHEMBL5533,Homo sapiens,IC50,uM,0.031
18672980,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL4204109,=,nM,1500.0,CHEMBL5533,Homo sapiens,IC50,uM,1.5
18672982,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL511805,=,nM,8700.0,CHEMBL5533,Homo sapiens,IC50,uM,8.7
18672984,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL4250573,=,nM,4700.0,CHEMBL5533,Homo sapiens,IC50,uM,4.7
18672985,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL168,=,nM,2400.0,CHEMBL5533,Homo sapiens,IC50,uM,2.4
18672989,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL23236,=,nM,8800.0,CHEMBL5533,Homo sapiens,IC50,uM,8.8
18672993,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL451476,=,nM,1600.0,CHEMBL5533,Homo sapiens,IC50,uM,1.6
18673003,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL451046,=,nM,5400.0,CHEMBL5533,Homo sapiens,IC50,uM,5.4
18673004,CHEMBL4235015,Inhibition of biotinylated consensus sequence binding to NF-kB p65 in human HeLa nuclear extracts after 3 hrs by ELISA,B,CHEMBL438139,=,nM,70.0,CHEMBL5533,Homo sapiens,IC50,nM,70.0
18965549,CHEMBL4335680,Inhibition of TNF alpha stimulated NF-KappaB p65 in human HeLa nuclear extract assessed as decrease in NF-KappaB translocation to nucleus measured after 5 hrs by ELISA,B,CHEMBL438139,=,nM,120.0,CHEMBL5533,Homo sapiens,IC50,uM,0.12
18965550,CHEMBL4335680,Inhibition of TNF alpha stimulated NF-KappaB p65 in human HeLa nuclear extract assessed as decrease in NF-KappaB translocation to nucleus measured after 5 hrs by ELISA,B,CHEMBL4443808,=,nM,4300.0,CHEMBL5533,Homo sapiens,IC50,uM,4.3
20686470,CHEMBL4624338,Inhibition of NF-kappaB p65 in human HeLa cells nuclear extract by chemiluminescent assay,B,CHEMBL4649115,=,nM,6.0,CHEMBL5533,Homo sapiens,IC50,nM,6.0
22468731,CHEMBL4684706,Inhibition of NFkappaB p65 in human RPMI-8226 cells incubated for 2 hrs by ELISA,B,CHEMBL4778826,=,nM,134.0,CHEMBL5533,Homo sapiens,IC50,nM,134.0
22468732,CHEMBL4684706,Inhibition of NFkappaB p65 in human RPMI-8226 cells incubated for 2 hrs by ELISA,B,CHEMBL939,=,nM,55.0,CHEMBL5533,Homo sapiens,IC50,nM,55.0
