activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,units,IC50,target_chembl_id,target_organism,type
41979,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL304760,=,nM,2720.0,CHEMBL279,Homo sapiens,IC50
41986,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL307982,=,nM,430.0,CHEMBL279,Homo sapiens,IC50
42683,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL98633,=,nM,81.0,CHEMBL279,Homo sapiens,IC50
42689,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL431073,=,nM,36.0,CHEMBL279,Homo sapiens,IC50
45078,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL98995,=,nM,46.0,CHEMBL279,Homo sapiens,IC50
45079,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL98996,=,nM,11.0,CHEMBL279,Homo sapiens,IC50
46268,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL329713,=,nM,13.0,CHEMBL279,Homo sapiens,IC50
47935,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL67057,=,nM,2050.0,CHEMBL279,Homo sapiens,IC50
48768,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL100174,=,nM,151.0,CHEMBL279,Homo sapiens,IC50
49322,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL432903,=,nM,3470.0,CHEMBL279,Homo sapiens,IC50
49328,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL65848,=,nM,3460.0,CHEMBL279,Homo sapiens,IC50
49412,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL69129,=,nM,85.0,CHEMBL279,Homo sapiens,IC50
50202,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL98538,=,nM,7.0,CHEMBL279,Homo sapiens,IC50
51439,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL97888,=,nM,259.0,CHEMBL279,Homo sapiens,IC50
51440,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL99832,=,nM,3.0,CHEMBL279,Homo sapiens,IC50
51886,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL69827,=,nM,270.0,CHEMBL279,Homo sapiens,IC50
53296,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL306380,=,nM,1600.0,CHEMBL279,Homo sapiens,IC50
53967,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL101464,=,nM,14.0,CHEMBL279,Homo sapiens,IC50
53974,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL100775,=,nM,1274.0,CHEMBL279,Homo sapiens,IC50
54404,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL305194,=,nM,8920.0,CHEMBL279,Homo sapiens,IC50
55130,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL319789,=,nM,35.0,CHEMBL279,Homo sapiens,IC50
55137,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL97889,=,nM,71.0,CHEMBL279,Homo sapiens,IC50
55138,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL98475,=,nM,6.0,CHEMBL279,Homo sapiens,IC50
57679,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL420087,=,nM,194.0,CHEMBL279,Homo sapiens,IC50
58124,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL67003,=,nM,2100.0,CHEMBL279,Homo sapiens,IC50
60800,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL306012,=,nM,2680.0,CHEMBL279,Homo sapiens,IC50
62146,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL47940,=,nM,1570.0,CHEMBL279,Homo sapiens,IC50
63369,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL69358,=,nM,300.0,CHEMBL279,Homo sapiens,IC50
66035,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL69071,=,nM,1630.0,CHEMBL279,Homo sapiens,IC50
66113,CHEMBL817617,Inhibition of Vascular endothelial growth factor receptor 2 at 5 uM ATP,B,CHEMBL302281,=,nM,2290.0,CHEMBL279,Homo sapiens,IC50
66857,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL101544,=,nM,36.0,CHEMBL279,Homo sapiens,IC50
67213,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL69709,=,nM,5820.0,CHEMBL279,Homo sapiens,IC50
68472,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL264382,=,nM,3470.0,CHEMBL279,Homo sapiens,IC50
69859,CHEMBL816964,Inhibition of tyrosine phosphorylation in cells expressing human VEGFR2 (Flk-1/KDR) kinase,B,CHEMBL308672,=,nM,40.0,CHEMBL279,Homo sapiens,IC50
70767,CHEMBL812621,Inhibitory activity towards vascular endothelial growth factor receptor 2,B,CHEMBL101924,=,nM,137.0,CHEMBL279,Homo sapiens,IC50
78008,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL432941,=,nM,70.0,CHEMBL279,Homo sapiens,IC50
79177,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL420609,=,nM,380.0,CHEMBL279,Homo sapiens,IC50
83548,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL88462,=,nM,20000.0,CHEMBL279,Homo sapiens,IC50
84545,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL431996,=,nM,4.0,CHEMBL279,Homo sapiens,IC50
85631,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL91250,=,nM,12100.0,CHEMBL279,Homo sapiens,IC50
85640,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL88771,=,nM,50.0,CHEMBL279,Homo sapiens,IC50
87619,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL91815,=,nM,30.0,CHEMBL279,Homo sapiens,IC50
88630,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL328029,=,nM,480.0,CHEMBL279,Homo sapiens,IC50
88639,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL314995,=,nM,30.0,CHEMBL279,Homo sapiens,IC50
91569,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL88483,=,nM,30.0,CHEMBL279,Homo sapiens,IC50
91587,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL89363,=,nM,20.0,CHEMBL279,Homo sapiens,IC50
92599,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL276711,=,nM,700.0,CHEMBL279,Homo sapiens,IC50
98654,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL89010,=,nM,20.0,CHEMBL279,Homo sapiens,IC50
98663,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL86531,=,nM,600.0,CHEMBL279,Homo sapiens,IC50
99526,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL315753,=,nM,90.0,CHEMBL279,Homo sapiens,IC50
104503,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL88606,=,nM,70.0,CHEMBL279,Homo sapiens,IC50
104512,CHEMBL812787,Evaluated for inhibitory activity towards tyrosine kinase Vascular endothelial growth factor receptor 2,B,CHEMBL313821,=,nM,60.0,CHEMBL279,Homo sapiens,IC50
108862,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL329201,=,nM,63.0,CHEMBL279,Homo sapiens,IC50
109722,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL221736,=,nM,8.0,CHEMBL279,Homo sapiens,IC50
110154,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL92973,=,nM,62.0,CHEMBL279,Homo sapiens,IC50
110155,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL92516,=,nM,24.0,CHEMBL279,Homo sapiens,IC50
111164,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL324489,=,nM,5.0,CHEMBL279,Homo sapiens,IC50
111618,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL96150,=,nM,265.0,CHEMBL279,Homo sapiens,IC50
113043,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL92623,=,nM,71.0,CHEMBL279,Homo sapiens,IC50
114343,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL329350,=,nM,37.0,CHEMBL279,Homo sapiens,IC50
114352,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL329142,=,nM,350.0,CHEMBL279,Homo sapiens,IC50
116878,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL330042,=,nM,280.0,CHEMBL279,Homo sapiens,IC50
117675,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL420528,=,nM,14.0,CHEMBL279,Homo sapiens,IC50
118084,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL96569,=,nM,41.0,CHEMBL279,Homo sapiens,IC50
120047,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL118748,=,nM,8.0,CHEMBL279,Homo sapiens,IC50
120054,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL117052,=,nM,5.0,CHEMBL279,Homo sapiens,IC50
120115,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL327029,=,nM,355.0,CHEMBL279,Homo sapiens,IC50
121338,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL119552,=,nM,5.0,CHEMBL279,Homo sapiens,IC50
122558,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL118832,=,nM,11.0,CHEMBL279,Homo sapiens,IC50
122965,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL317566,=,nM,510.0,CHEMBL279,Homo sapiens,IC50
124201,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL329457,=,nM,41.0,CHEMBL279,Homo sapiens,IC50
125121,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL323838,=,nM,16.0,CHEMBL279,Homo sapiens,IC50
126536,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL333297,=,nM,4.0,CHEMBL279,Homo sapiens,IC50
128961,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL118569,=,nM,7.0,CHEMBL279,Homo sapiens,IC50
130786,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL92238,=,nM,88.0,CHEMBL279,Homo sapiens,IC50
130787,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL94542,=,nM,28.0,CHEMBL279,Homo sapiens,IC50
132885,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL118440,=,nM,45.0,CHEMBL279,Homo sapiens,IC50
133267,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL83656,=,nM,71.0,CHEMBL279,Homo sapiens,IC50
135300,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL325003,=,nM,6.0,CHEMBL279,Homo sapiens,IC50
135730,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL328790,=,nM,113.0,CHEMBL279,Homo sapiens,IC50
136543,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL119276,=,nM,4.0,CHEMBL279,Homo sapiens,IC50
139354,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL92279,=,nM,224.0,CHEMBL279,Homo sapiens,IC50
140398,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL92564,=,nM,1000.0,CHEMBL279,Homo sapiens,IC50
141152,CHEMBL820698,Inhibition of VEGF receptor 2 mediated phosphorylation of poly-Glu/Tyr (4:1),B,CHEMBL117983,=,nM,10.0,CHEMBL279,Homo sapiens,IC50
141620,CHEMBL819551,Inhibitory activity at VEGF-2 receptor.,B,CHEMBL92461,=,nM,19.0,CHEMBL279,Homo sapiens,IC50
184214,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL432548,=,nM,88.0,CHEMBL279,Homo sapiens,IC50
193034,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL84332,=,nM,37.0,CHEMBL279,Homo sapiens,IC50
201317,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL83171,=,nM,52.0,CHEMBL279,Homo sapiens,IC50
203611,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL316384,=,nM,37.0,CHEMBL279,Homo sapiens,IC50
204863,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL81026,=,nM,113.0,CHEMBL279,Homo sapiens,IC50
204865,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL82433,=,nM,25.0,CHEMBL279,Homo sapiens,IC50
209582,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL83279,=,nM,14.0,CHEMBL279,Homo sapiens,IC50
213122,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL79475,=,nM,270.0,CHEMBL279,Homo sapiens,IC50
216622,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL430812,=,nM,96.0,CHEMBL279,Homo sapiens,IC50
217880,CHEMBL818933,Inhibition of vascular endothelial growth factor receptor 2,B,CHEMBL82069,=,nM,23.0,CHEMBL279,Homo sapiens,IC50
230638,CHEMBL818935,Inhibition of Vascular endothelial growth factor receptor 2,B,CHEMBL44577,=,nM,5320.0,CHEMBL279,Homo sapiens,IC50
233271,CHEMBL698970,Inhibition of human VEGF-receptor 2 (kdr) kinase.,B,CHEMBL47787,=,nM,34200.0,CHEMBL279,Homo sapiens,IC50
234547,CHEMBL698970,Inhibition of human VEGF-receptor 2 (kdr) kinase.,B,CHEMBL45683,=,nM,435.0,CHEMBL279,Homo sapiens,IC50
242449,CHEMBL698970,Inhibition of human VEGF-receptor 2 (kdr) kinase.,B,CHEMBL46785,=,nM,3810.0,CHEMBL279,Homo sapiens,IC50
250611,CHEMBL818935,Inhibition of Vascular endothelial growth factor receptor 2,B,CHEMBL45177,=,nM,1190.0,CHEMBL279,Homo sapiens,IC50
257550,CHEMBL698970,Inhibition of human VEGF-receptor 2 (kdr) kinase.,B,CHEMBL295528,=,nM,34600.0,CHEMBL279,Homo sapiens,IC50
258863,CHEMBL698970,Inhibition of human VEGF-receptor 2 (kdr) kinase.,B,CHEMBL45651,=,nM,263.0,CHEMBL279,Homo sapiens,IC50
307857,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL2448064,=,nM,50.0,CHEMBL279,Homo sapiens,IC50
309315,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL25579,=,nM,6.0,CHEMBL279,Homo sapiens,IC50
309324,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL24026,=,nM,230.0,CHEMBL279,Homo sapiens,IC50
309331,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL26050,=,nM,1500.0,CHEMBL279,Homo sapiens,IC50
314570,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL428534,=,nM,30.0,CHEMBL279,Homo sapiens,IC50
316938,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL281872,=,nM,30.0,CHEMBL279,Homo sapiens,IC50
316966,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL281990,=,nM,25.0,CHEMBL279,Homo sapiens,IC50
316973,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL422758,=,nM,25.0,CHEMBL279,Homo sapiens,IC50
316980,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL25450,=,nM,40.0,CHEMBL279,Homo sapiens,IC50
316987,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL1907763,=,nM,5.0,CHEMBL279,Homo sapiens,IC50
316994,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL24137,=,nM,9.0,CHEMBL279,Homo sapiens,IC50
318307,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL24828,=,nM,70.0,CHEMBL279,Homo sapiens,IC50
321869,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL1744349,=,nM,40.0,CHEMBL279,Homo sapiens,IC50
321877,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL24979,=,nM,6.0,CHEMBL279,Homo sapiens,IC50
321886,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL2448065,=,nM,15.0,CHEMBL279,Homo sapiens,IC50
323341,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL1907764,=,nM,1.0,CHEMBL279,Homo sapiens,IC50
324427,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL283088,=,nM,30.0,CHEMBL279,Homo sapiens,IC50
324434,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL2448067,=,nM,30.0,CHEMBL279,Homo sapiens,IC50
325573,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL1202477,=,nM,9.0,CHEMBL279,Homo sapiens,IC50
326803,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL416191,=,nM,10.0,CHEMBL279,Homo sapiens,IC50
328340,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL533849,=,nM,40.0,CHEMBL279,Homo sapiens,IC50
328371,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL1907944,=,nM,10.0,CHEMBL279,Homo sapiens,IC50
330834,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL1744347,=,nM,20.0,CHEMBL279,Homo sapiens,IC50
332169,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL25610,=,nM,40.0,CHEMBL279,Homo sapiens,IC50
334915,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL26641,=,nM,40.0,CHEMBL279,Homo sapiens,IC50
337410,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL279459,=,nM,15.0,CHEMBL279,Homo sapiens,IC50
338667,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL1202473,=,nM,7.0,CHEMBL279,Homo sapiens,IC50
338674,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL25425,=,nM,55.0,CHEMBL279,Homo sapiens,IC50
340146,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL286160,=,nM,7.0,CHEMBL279,Homo sapiens,IC50
340161,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL2448066,=,nM,8.0,CHEMBL279,Homo sapiens,IC50
342467,CHEMBL817494,Inhibition of vascular endothelial growth factor receptor 2 kinase activity at a concentration of 2 uM,B,CHEMBL1202478,=,nM,8.0,CHEMBL279,Homo sapiens,IC50
438322,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL67598,=,nM,9110.0,CHEMBL279,Homo sapiens,IC50
439638,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL67268,=,nM,90.0,CHEMBL279,Homo sapiens,IC50
439645,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL70034,=,nM,29.0,CHEMBL279,Homo sapiens,IC50
442412,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL69068,=,nM,900.0,CHEMBL279,Homo sapiens,IC50
446437,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL302279,=,nM,1080.0,CHEMBL279,Homo sapiens,IC50
446444,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL304113,=,nM,900.0,CHEMBL279,Homo sapiens,IC50
447791,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL305748,=,nM,9820.0,CHEMBL279,Homo sapiens,IC50
447798,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL302481,=,nM,2000.0,CHEMBL279,Homo sapiens,IC50
447805,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL71541,=,nM,144.0,CHEMBL279,Homo sapiens,IC50
447812,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL67211,=,nM,5060.0,CHEMBL279,Homo sapiens,IC50
450344,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL303195,=,nM,3300.0,CHEMBL279,Homo sapiens,IC50
451604,CHEMBL817790,Inhibitory activity against vascular endothelial growth factor receptor 2 (VEGFR2) at a concentration of 5 uM ATP.,B,CHEMBL66716,=,nM,1600.0,CHEMBL279,Homo sapiens,IC50
