activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type
20714393,CHEMBL4629886,Inhibition of recombinant human full-length His-tagged CAMK1D expressed in baculovirus expression system using autocamtide-2 as substrate preincubated for 15 mins followed by ATP addition and measured after 2 hrs by ADP-glo luminescence assay,B,CHEMBL4644948,=,nM,47.0,CHEMBL5073,Homo sapiens,IC50
20714394,CHEMBL4629886,Inhibition of recombinant human full-length His-tagged CAMK1D expressed in baculovirus expression system using autocamtide-2 as substrate preincubated for 15 mins followed by ATP addition and measured after 2 hrs by ADP-glo luminescence assay,B,CHEMBL4640492,=,nM,96.0,CHEMBL5073,Homo sapiens,IC50
20714395,CHEMBL4629886,Inhibition of recombinant human full-length His-tagged CAMK1D expressed in baculovirus expression system using autocamtide-2 as substrate preincubated for 15 mins followed by ATP addition and measured after 2 hrs by ADP-glo luminescence assay,B,CHEMBL4634851,=,nM,115.0,CHEMBL5073,Homo sapiens,IC50
20714396,CHEMBL4629886,Inhibition of recombinant human full-length His-tagged CAMK1D expressed in baculovirus expression system using autocamtide-2 as substrate preincubated for 15 mins followed by ATP addition and measured after 2 hrs by ADP-glo luminescence assay,B,CHEMBL4632457,=,nM,27.0,CHEMBL5073,Homo sapiens,IC50
20714397,CHEMBL4629886,Inhibition of recombinant human full-length His-tagged CAMK1D expressed in baculovirus expression system using autocamtide-2 as substrate preincubated for 15 mins followed by ATP addition and measured after 2 hrs by ADP-glo luminescence assay,B,CHEMBL4633229,=,nM,22.0,CHEMBL5073,Homo sapiens,IC50
20714398,CHEMBL4629886,Inhibition of recombinant human full-length His-tagged CAMK1D expressed in baculovirus expression system using autocamtide-2 as substrate preincubated for 15 mins followed by ATP addition and measured after 2 hrs by ADP-glo luminescence assay,B,CHEMBL4640712,=,nM,31.0,CHEMBL5073,Homo sapiens,IC50
20714399,CHEMBL4629886,Inhibition of recombinant human full-length His-tagged CAMK1D expressed in baculovirus expression system using autocamtide-2 as substrate preincubated for 15 mins followed by ATP addition and measured after 2 hrs by ADP-glo luminescence assay,B,CHEMBL4635883,=,nM,8.0,CHEMBL5073,Homo sapiens,IC50
20714454,CHEMBL4629894,Inhibition of HA-tagged CAMK1D (unknown origin) expressed in human MDA-MB-231 cells assessed as reduction in CAMK1D autophosphorylation measured after 4 hrs by Western blot analysis,B,CHEMBL4634851,=,nM,285.0,CHEMBL5073,Homo sapiens,IC50
20714455,CHEMBL4629894,Inhibition of HA-tagged CAMK1D (unknown origin) expressed in human MDA-MB-231 cells assessed as reduction in CAMK1D autophosphorylation measured after 4 hrs by Western blot analysis,B,CHEMBL4632457,=,nM,28.0,CHEMBL5073,Homo sapiens,IC50
20714456,CHEMBL4629894,Inhibition of HA-tagged CAMK1D (unknown origin) expressed in human MDA-MB-231 cells assessed as reduction in CAMK1D autophosphorylation measured after 4 hrs by Western blot analysis,B,CHEMBL4633229,=,nM,19.0,CHEMBL5073,Homo sapiens,IC50
20714457,CHEMBL4629894,Inhibition of HA-tagged CAMK1D (unknown origin) expressed in human MDA-MB-231 cells assessed as reduction in CAMK1D autophosphorylation measured after 4 hrs by Western blot analysis,B,CHEMBL4640712,=,nM,8.0,CHEMBL5073,Homo sapiens,IC50
20714458,CHEMBL4629894,Inhibition of HA-tagged CAMK1D (unknown origin) expressed in human MDA-MB-231 cells assessed as reduction in CAMK1D autophosphorylation measured after 4 hrs by Western blot analysis,B,CHEMBL4635883,=,nM,11.0,CHEMBL5073,Homo sapiens,IC50
22843828,CHEMBL4720814,Inhibition of human CAMK1D using KKALRRQETVDAL as substrate by [gamma-33P]-ATP assay,B,CHEMBL388978,=,nM,0.206,CHEMBL5073,Homo sapiens,IC50
22946982,CHEMBL4765546,Inhibition of wild-type human CAMK1delta using KKALRRQETVDAL peptide as substrate in presence of Ca2+ calmodulin and [gamma-33P]-ATP by radiometric hotspot kinase assay,B,CHEMBL4795714,=,nM,3000.0,CHEMBL5073,Homo sapiens,IC50
