Drug_ID	Drug	Y
"oxazepam"	"O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O"	1
"oxiperomide"	"O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1"	1
"oxycodone"	"COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314"	1
"oxymorphone"	"CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5"	1
"pecazine"	"CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1"	1
"pemoline"	"NC1=NC(=O)C(c2ccccc2)O1"	1
"pentazocine"	"CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C"	1
"Ethionamide"	"CCc1cc(C(N)=S)ccn1"	1
"Etoposide"	"COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O"	0
"Famotidine"	"NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1"	1
"Fluconazole"	"OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F"	1
"Foscarnetsodium"	"O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+]"	1
"Gabapentin"	"NCC1(CC(=O)O)CCCCC1"	1
"Nafcillin"	"CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.[Na+]"	0
"Nalidixicacid"	"CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21"	0
"Nelfinavir"	"Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C"	0
"Astemizole"	"COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1"	0
"atropine"	"CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2"	0
"Auxeomycin"	"CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12.[Cl-].[H+]"	0
"Betamethasone"	"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"	0
"carbenicillin"	"CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O"	0
"carbidopa"	"C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O"	0
"carteolol"	"CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2"	0
"Cefazolin"	"Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+]"	0
"cephapirin"	"CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1"	0
"chlorambucil"	"O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1"	0
"pergolide"	"CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21"	1
"perlapine"	"CN1CCN(C2=Nc3ccccc3Cc3ccccc32)CC1"	1
"perphenazine-HCl"	"OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1"	1
"pethidine"	"CCOC(=O)C1(c2ccccc2)CCN(C)CC1"	1
"phencyclidine"	"c1ccc(C2(N3CCCCC3)CCCCC2)cc1"	1
"phenelzine sulfate"	"NNCCc1ccccc1.O=S(=O)(O)O"	1
"phenobarbital"	"CCC1(c2ccccc2)C(=O)NC(=O)NC1=O"	1
"phenprobamate"	"NC(=O)OCCCc1ccccc1"	1
"physostigmine"	"CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C"	1
"Norepinephrine"	"NCC(O)c1ccc(O)c(O)c1"	0
"Omeprazole"	"COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1"	0
"Oxacillin"	"Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12"	0
"Pentostatin"	"OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O"	1
"Phenoxymethylpenicillin"	"CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]"	0
"chloramphenicol"	"O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl"	0
"chlorothiazide"	"NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O"	0
"chlorpropamide"	"CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1"	0
"Chlortetracycline"	"CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12"	0
"chlorthalidone"	"NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl"	0
"clofibrate"	"CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1"	0
"clofibric acid"	"CC(C)(Oc1ccc(Cl)cc1)C(=O)O"	0
"clotrimazole"	"Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1"	0
"corticosterone"	"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO"	0
"Cortisone"	"C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO"	0
"piflutixol"	"OCCC1CCN(CC/C=C2\c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1"	1
"pimozide"	"O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1"	1
"pinoxepin"	"OCCN1CCN(CC/C=C2/c3ccccc3COc3ccc(Cl)cc32)CC1"	1
"pipamperone"	"NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1"	1
"prazepam"	"O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1"	1
"pregnanolone"	"CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C"	1
"primidone"	"CCC1(c2ccccc2)C(=O)NCNC1=O"	1
"procaine"	"CCN(CC)CCOC(=O)c1ccc(N)cc1"	1
"procyclidine"	"OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1"	1
"promazine"	"CN(C)CCCN1c2ccccc2Sc2ccccc21"	1
"Pindolol"	"CC(C)NCC(O)COc1cccc2[nH]ccc12"	1
"Plicamycin"	"CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1"	1
"Pravastatin"	"CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21"	0
"Praziquantel"	"O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1"	1
"Trimethoprim"	"COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC"	1
"Trimetrexate"	"COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC"	0
"Trometamol"	"NC(CO)(CO)CO"	0
"Trovafloxacin"	"NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12"	1
"Urea"	"NC(N)=O"	1
"coumarin"	"O=c1ccc2ccccc2o1"	0
"dapsone"	"Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1"	0
"Dehydrocholic acid"	"C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C"	0
"dicumarol"	"O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12"	0
"dicyclomine"	"CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1"	0
"Diethylstilbestrol"	"CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1"	0
"Digitoxin"	"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O"	0
"Digoxin"	"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O"	0
"Domperidone"	"O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1"	0
"promethazine-HCl"	"CC(CN1c2ccccc2Sc2ccccc21)N(C)C"	1
"propiomazine"	"CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2"	1
"propofol"	"CC(C)c1cccc(C(C)C)c1O"	1
"protriptyline"	"CNCCCC1c2ccccc2C=Cc2ccccc21"	1
"pyridazinone"	"O=c1cc[nH]nc1"	1
"quazepam"	"Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21"	1
"rescinnamine"	"COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC"	1
"reserpine"	"COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC"	1
"secobarbital"	"C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O"	1
"spiclomazine"	"O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1.[Cl-].[H+]"	1
"Atovaquone"	"O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1"	0
"Azelaicacid"	"O=C(O)CCCCCCCC(=O)O"	0
"Azithromycin"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O"	0
"Bacitracin"	"CCC(C)C(N)C1=NC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCCCC[C@@H]2NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1"	0
"Bethanechol"	"CC(C[N+](C)(C)C)OC(N)=O.[Cl-]"	0
"Bretyliumtosilate"	"CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1"	0
"Bromocriptine"	"CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12"	0
"Buprenorphine"	"CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5"	1
"dopamine"	"NCCc1ccc(O)c(O)c1"	0
"doxorubicin"	"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"	0
"doxycycline"	"C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O"	0
"Dyclonine"	"CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.[Cl]"	0
"Econazole"	"Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1"	0
"enkephalin"	"CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O"	0
"Ephedrine"	"CN[C@@H](C)[C@H](O)c1ccccc1"	0
"epinephrine"	"CNC[C@H](O)c1ccc(O)c(O)c1"	0
"erythromycin"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"	0
"estradiol"	"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O"	0
"tacrine"	"Nc1c2c(nc3ccccc13)CCCC2"	1
"temazepam"	"CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21"	1
"tetrabenzine"	"COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2"	1
"thc"	"CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21"	1
"thebaine"	"COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5"	1
"thiethylperazine"	"CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2"	1
"thioridazine"	"CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2"	1
"thiothixene"	"CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1"	1
"tranylcypromine"	"N[C@@H]1C[C@H]1c1ccccc1.[Cl-].[H+]"	1
"trazodone"	"O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12"	1
"Busulfan"	"CS(=O)(=O)OCCCCOS(C)(=O)=O"	1
"Cefradine"	"CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1"	0
"Chloroquine"	"CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12"	1
"Cisapride"	"COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC.O"	1
"Cladribine"	"Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1"	1
"Clidiniumbromide"	"C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-]"	0
"estrone"	"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O"	0
